600036.SH,601318.SH,000651.SZ,002594.SZ,601888.SH
80.19,34.63,60.25,70.85,81.84
80.72,35.05,61.57,66.2,82.97
82.38,35.64,62.64,67.5,85.07
83.28,35.98,63.5,68.1,85.8
81.7,35.53,61.67,61.91,83.31
81.55,35.7,62.16,59.47,80.2
82.39,36.17,63.12,58.48,81.25
81.0,35.64,62.73,56.9,80.94
80.45,35.27,62.9,57.55,79.16
81.2,35.6,63.82,59.19,80.4
81.13,35.57,63.92,59.04,80.05
80.3,35.1,62.1,60.93,79.0
81.03,35.42,62.38,57.9,80.2
81.52,35.75,63.24,60.75,80.8
80.38,35.36,62.85,60.81,77.78
80.43,35.35,61.57,56.36,75.08
77.71,35.03,58.77,53.85,73.8
83.49,36.81,63.94,59.83,82.0
85.22,37.82,66.64,59.27,84.58
85.6,37.79,66.5,56.72,83.75
87.6,38.31,68.35,58.76,86.9
86.25,37.93,67.91,57.95,89.85
85.55,37.96,67.32,54.09,90.39
85.81,38.12,68.9,53.31,89.36
86.83,38.81,69.81,53.44,88.84
86.45,39.1,69.76,51.61,91.0
84.78,39.04,69.75,46.92,94.34
85.04,38.9,69.88,47.65,94.0
85.0,38.41,68.8,47.28,91.3
86.15,39.15,67.32,48.05,90.91
85.6,39.24,65.88,48.28,90.0
86.2,39.4,67.1,48.04,90.98
86.12,38.88,67.9,48.17,90.05
